DATE,ADJ_ALL,EVT_TOTAL,ALL_REV_DELTA,ADJ_PURCHASE,EVT_PURCHASE,PURCHASE_DELTA
2025-07-13,32061.513,38895.21,-6833.697,32061.513,31187.800000000003,873.7129999999961
2025-07-12,34389.822,41585.18,-7195.358,34389.822,34072.590000000004,317.23199999999633
2025-07-11,38145.319,45825.79,-7680.470999999998,38145.319,38162.079999999994,-16.760999999991327
2025-07-10,37609.993,45828.18000000001,-8218.187000000005,37609.993,37948.130000000005,-338.13700000000244
2025-07-09,29570.341999999997,38084.17,-8513.828000000001,29570.341999999997,29726.23,-155.88800000000265
2025-07-08,33139.659,41900.159999999996,-8760.500999999997,33139.659,33735.56,-595.900999999998
2025-07-07,32371.163,43625.770000000004,-11254.607000000004,32371.163,32413.34,-42.17699999999968
2025-07-06,31419.997,47275.25,-15855.253,31419.997,31465.500000000004,-45.50300000000425
2025-07-05,35684.41,50044.759999999995,-14360.349999999991,35684.41,34258.36,1426.050000000003
2025-07-04,40364.112,55641.11,-15276.998,40364.112,40227.95,136.1620000000039
2025-07-03,44148.555,52229.659999999996,-8081.104999999996,44148.555,43004.97,1143.5849999999991
2025-07-02,42773.689,49641.979999999996,-6868.290999999997,42773.689,41924.87,848.8189999999959
2025-07-01,29415.272,37355.91,-7940.638000000003,29415.272,28701.110000000004,714.1619999999966
2025-06-30,24839.560999999998,32752.649999999998,-7913.089,24839.560999999998,24405.91,433.650999999998
2025-06-29,26532.361,38084.47,-11552.109,26532.361,26309.02,223.34100000000035
2025-06-28,34831.593,44792.46,-9960.866999999998,34831.593,34362.79,468.8029999999999
2025-06-27,47247.926,57075.1,-9827.173999999999,47247.926,47293.11,-45.184000000001106
2025-06-26,57267.11,65042.42,-7775.309999999998,57267.11,57834.57,-567.4599999999991
2025-06-25,31018.596,37868.4,-6849.804,31018.596,30257.12,761.4760000000024
2025-06-24,30528.583,38239.659999999996,-7711.0769999999975,30528.583,30395.34,133.24299999999857
2025-06-23,34308.562999999995,42538.14000000001,-8229.577000000012,34308.562999999995,34255.72,52.84299999999348
2025-06-22,30354.772999999997,38011.17999999999,-7656.406999999996,30354.772999999997,30446.36,-91.58700000000317
2025-06-21,31504.804999999997,38885.409999999996,-7380.605,31504.804999999997,31369.820000000003,134.9849999999933
2025-06-20,35827.811,42983.89,-7156.078999999998,35827.811,35768.83,58.98099999999977
2025-06-19,39180.568,47373.44,-8192.872000000003,39180.568,39182.09999999999,-1.5319999999919673
2025-06-18,30891.187,40452.07,-9560.882999999998,30891.187,31194.479999999996,-303.2929999999942
2025-06-17,35330.186,44854.020000000004,-9523.834000000003,35330.186,35400.21000000001,-70.02400000000489
2025-06-16,35018.448000000004,45867.170000000006,-10848.722000000002,35018.448000000004,35045.86,-27.411999999996624
2025-06-15,33854.243,46935.36,-13081.116999999998,33854.243,34112.020000000004,-257.77700000000186
2025-06-14,39383.984000000004,53015.4,-13631.415999999997,39383.984000000004,38491.6,892.3840000000055
2025-06-13,41457.42,54511.66,-13054.240000000005,41457.42,41397.8,59.61999999999534
2025-06-12,39429.592,45106.56,-5676.968000000001,39429.592,38277.4,1152.1919999999955
2025-06-11,35603.119,42419.98,-6816.861000000004,35603.119,35487.630000000005,115.48899999999412
2025-06-10,37496.887,44743.92,-7247.032999999996,37496.887,36906.31,590.5770000000048
2025-06-09,33397.509000000005,40016.229999999996,-6618.72099999999,33397.509000000005,32453.62,943.8890000000065
2025-06-08,31510.798,38712.38,-7201.5819999999985,31510.798,31488.51,22.288000000000466
2025-06-07,29924.873,36653.76,-6728.887000000002,29924.873,29500.82,424.0529999999999
2025-06-06,35952.751000000004,43343.21,-7390.458999999995,35952.751000000004,35449.74,503.0110000000059
2025-06-05,40466.827,47228.240000000005,-6761.413000000008,40466.827,39415.29,1051.5369999999966
2025-06-04,37208.542,44982.880000000005,-7774.338000000003,37208.542,36818.74,389.8020000000033
2025-06-03,43994.512,53724.19,-9729.678,43994.512,43100.07,894.4420000000027
2025-06-02,42416.127,50113.20999999999,-7697.082999999991,42416.127,41785.92,630.2070000000022
2025-06-01,29450.619000000002,37607.28999999999,-8156.670999999991,29450.619000000002,29340.4,110.21900000000096
2025-05-31,35615.935,43442.85,-7826.915000000001,35615.935,34917.79,698.1449999999968
2025-05-30,45576.047999999995,55057.41,-9481.362000000008,45576.047999999995,45521.19,54.8579999999929
2025-05-29,46422.875,54840.990000000005,-8418.115000000005,46422.875,46451.649999999994,-28.77499999999418
2025-05-28,29861.05,37481.590000000004,-7620.5400000000045,29861.05,29118.260000000002,742.7899999999972
2025-05-27,29400.576,38550.81,-9150.233999999997,29400.576,27528.44,1872.1360000000022
2025-05-26,32068.310000000005,45206.350000000006,-13138.04,32068.310000000005,32382.21,-313.8999999999942
2025-05-25,31070.121,45429.380000000005,-14359.259000000005,31070.121,31322.479999999996,-252.35899999999674
