DATE,API_INSTALLS,S3_INSTALLS,DELTA,PCT_DELTA
2025-03-13,7207,3680,3527,0.48938531982794503
2025-03-12,7536,3881,3655,0.48500530785562634
2025-03-11,7479,3826,3653,0.4884342826581094
2025-03-10,7498,4020,3478,0.46385702854094424
2025-03-09,8993,4707,4286,0.4765929055932392
2025-03-08,8393,4407,3986,0.474919575837007
2025-03-07,7473,3886,3587,0.4799946473972969
2025-03-06,7530,3785,3745,0.49734395750332006
2025-03-05,7537,3789,3748,0.49728008491442216
2025-03-04,7365,3760,3605,0.4894772572980312
2025-03-03,7492,3825,3667,0.4894554191137213
2025-03-02,8789,4456,4333,0.493002616907498
2025-03-01,8388,4193,4195,0.5001192179303767
2025-02-28,7255,3576,3679,0.5070985527222606
2025-02-27,7538,3944,3594,0.4767842929158928
2025-02-26,7591,3845,3746,0.4934791200105388
2025-02-25,7702,3976,3726,0.4837704492339652
2025-02-24,7981,4226,3755,0.4704924194963037
2025-02-23,9424,4963,4461,0.47336587436332767
2025-02-22,9295,4702,4593,0.49413663259817103
2025-02-21,8429,4439,3990,0.47336576106299677
2025-02-20,8217,4187,4030,0.4904466350249483
2025-02-19,7927,3957,3970,0.500819982338842
2025-02-18,7749,3840,3909,0.5044521873790166
2025-02-17,8407,4113,4294,0.5107648388247888
2025-02-16,9450,4456,4994,0.5284656084656084
2025-02-15,9267,4492,4775,0.5152692349196072
2025-02-14,7876,3629,4247,0.5392331132554596
2025-02-13,8155,3940,4215,0.5168608215818516
2025-02-12,8860,4446,4414,0.4981941309255079
2025-02-11,9388,4876,4512,0.4806135492117597
2025-02-10,6278,1983,4295,0.6841350748646066
2025-02-09,7891,2507,5384,0.682296286909137
2025-02-08,7695,2611,5084,0.660688758934373
2025-02-07,6956,2541,4415,0.6347038527889591
2025-02-06,7978,3857,4121,0.5165455001253447
2025-02-05,7999,4097,3902,0.4878109763720465
2025-02-04,7825,3915,3910,0.4996805111821086
2025-02-03,7778,3926,3852,0.4952429930573412
2025-02-02,9245,4730,4515,0.4883720930232558
2025-02-01,8719,4345,4374,0.5016630347516917
2025-01-31,8030,3770,4260,0.5305105853051059
2025-01-30,7194,3352,3842,0.5340561579093689
2025-01-29,7646,3567,4079,0.5334815589850902
2025-01-28,7650,3619,4031,0.5269281045751634
2025-01-27,7911,3828,4083,0.51611679939325
2025-01-26,8603,4288,4315,0.5015692200395211
2025-01-25,8398,4160,4238,0.5046439628482973
2025-01-24,7575,3627,3948,0.5211881188118812
2025-01-23,7489,3621,3868,0.5164908532514354
2025-01-22,7826,3734,4092,0.5228724763608484
2025-01-21,7778,3864,3914,0.5032141938801749
2025-01-20,8046,4196,3850,0.478498632861049
2025-01-19,9174,4734,4440,0.4839764551994768
2025-01-18,8257,4123,4134,0.5006661014896452
2025-01-17,7590,3653,3937,0.5187088274044795
2025-01-16,7518,3607,3911,0.520218143123171
2025-01-15,7407,3494,3913,0.5282840556230592
2025-01-14,7188,3661,3527,0.4906789092932666
2025-01-13,7427,3771,3656,0.4922579776491181
2025-01-12,8406,4343,4063,0.48334522959790627
2025-01-11,8288,4266,4022,0.48527992277992277
2025-01-10,7266,3701,3565,0.4906413432424993
2025-01-09,7044,3550,3494,0.4960249858035207
2025-01-08,7009,3445,3564,0.5084890854615495
2025-01-07,7095,3621,3474,0.4896405919661734
2025-01-06,7201,3712,3489,0.4845160394389668
2025-01-05,8605,4439,4166,0.484137129575828
2025-01-04,7966,4108,3858,0.48430831031885513
2025-01-03,7342,3972,3370,0.4590029964587306
2025-01-02,7461,3824,3637,0.4874681678059241
2025-01-01,8038,4071,3967,0.4935307290370739
