DATE,EXEC_SPEND,BIZ_SPEND,PLAT_SPEND,MMM_SPEND,DESKTOP_SPEND_DELTA,ADJUST_VS_UNIFIED_DELTA
2025-11-10,19256.984600000003,19256.9846,24038.077975,24502.251501000002,4781.093374999997,-5245.266900999999
2025-11-09,21165.0054,21165.0054,26818.420938,27254.738778,5653.415538000001,-6089.733378000001
2025-11-08,21245.0156,21245.0156,27045.182013999998,27618.337064,5800.166413999999,-6373.321464000001
2025-11-07,20556.791800000003,20556.7918,26724.217954000003,27202.739991,6167.426154000001,-6645.948190999996
2025-11-06,20238.935299999994,20238.935299999997,25869.734221,26289.006816,5630.798921000005,-6050.071516000007
2025-11-05,21547.3407,21547.3407,27510.775182,27963.899367,5963.434482000001,-6416.558667000001
2025-11-04,21398.6469,21398.6469,26994.97945,27477.429868,5596.332549999999,-6078.7829679999995
2025-11-03,22350.6172,22350.6172,28423.024751999998,28919.385222999997,6072.407551999997,-6568.768022999997
2025-11-02,22632.041299999997,22632.041299999997,28662.686494,29097.303137,6030.645194000004,-6465.261837000002
2025-11-01,19929.858,19929.858,24488.142350000002,25000.826505999998,4558.284350000002,-5070.968505999997
2025-10-31,19844.108799999998,19844.1088,24155.702776,24515.288821000002,4311.593976,-4671.180021000004
2025-10-30,20041.5378,20041.5378,24442.892456,24968.596482999998,4401.354656000003,-4927.058682999999
2025-10-29,20299.3826,20299.3826,25354.673336999997,25771.457609,5055.290736999996,-5472.075009
2025-10-28,20153.2933,20153.293299999998,25055.324866,25504.946192,4902.031565999998,-5351.652891999998
2025-10-27,20801.1502,20801.1502,26087.829899999997,26469.317207,5286.679699999997,-5668.167007
2025-10-26,21907.735599999996,21907.7356,27302.313650999997,27767.355035999997,5394.578051,-5859.619436000001
2025-10-25,20485.2795,20485.279499999997,25616.683057999995,26052.336051,5131.4035579999945,-5567.056550999998
2025-10-24,21671.8261,21671.8261,27300.049326,27784.58392,5628.223226000002,-6112.7578200000025
2025-10-23,21151.4814,21151.4814,26696.503815,27129.907875999997,5545.0224149999995,-5978.426475999997
2025-10-22,21457.051399999997,21457.051399999997,26707.773394000003,27176.519048000002,5250.721994000007,-5719.467648000005
2025-10-21,21222.5176,21222.5176,26398.811721,26808.791285000003,5176.294120999999,-5586.273685000004
2025-10-20,19676.227899999998,19676.227899999998,25103.800447,25558.65206,5427.572547000003,-5882.424160000002
2025-10-19,22433.832499999997,22433.8325,28219.461201000002,28718.734582,5785.628701000005,-6284.902082000004
2025-10-18,19960.64,19960.64,25410.946550000004,25904.013121,5450.306550000005,-5943.3731210000005
2025-10-17,21122.2678,21122.2678,26279.736871,26762.674132,5157.4690709999995,-5640.406331999999
2025-10-16,20549.9556,20549.9556,25942.116073,26408.805912,5392.160473,-5858.850311999999
2025-10-15,21306.4699,21306.469900000004,26885.872203,27405.487051,5579.402302999999,-6099.017151
2025-10-14,21704.963400000004,21704.9634,27330.110922,27803.993801,5625.147521999996,-6099.030400999996
2025-10-13,22278.496499999997,22278.4965,28122.524977,28639.341574,5844.0284770000035,-6360.845074000001
2025-10-12,22547.1119,22547.1119,27947.204739,28465.159470000002,5400.092839000001,-5918.047570000002
2025-10-11,21263.1618,21263.1618,26712.35999,27173.561119,5449.198189999999,-5910.399319
2025-10-10,21512.5622,21512.5622,26860.717797999998,27362.628228,5348.155597999998,-5850.066028000001
2025-10-09,21430.808599999997,21430.808600000004,26982.971494999998,27539.395223,5552.162895000001,-6108.586623000003
2025-10-08,20447.6328,20447.6328,25604.142109,26056.006133,5156.509309000001,-5608.373333
2025-10-07,20631.2711,20631.271099999998,25958.372558000003,26418.688585,5327.101458000001,-5787.417484999998
2025-10-06,21013.802200000002,21013.802200000002,26960.90528,27583.027373,5947.103079999997,-6569.225172999999
2025-10-05,23000.6041,23000.6041,28971.780075,29516.07624,5971.175974999998,-6515.472139999998
