DATE,EXEC_API_INSTALLS,EXEC_SKAN,EXEC_TOTAL,EXEC_ATTRIBUTION,MMM_S3_SKAN,MMM_API,BIZ_INSTALLS
2025-05-25,11320,1739,13059,8560,8322,11303,11320
2025-05-24,10862,1842,12704,8122,7948,10844,10862
2025-05-23,10267,1713,11980,7742,7741,10251,10267
2025-05-22,10434,1719,12153,7658,7534,10404,10434
2025-05-21,10701,1893,12594,7947,7947,10683,10701
2025-05-20,10872,1948,12820,7798,7945,10855,10872
2025-05-19,10440,1867,12307,7717,8274,10426,10440
2025-05-18,11181,1707,12888,8152,8217,11167,11181
2025-05-17,10835,1594,12429,7810,7705,10820,10835
2025-05-16,9712,1620,11332,6821,7329,9696,9712
2025-05-15,9892,1589,11481,6951,7226,9872,9892
2025-05-14,9586,1786,11372,6801,7307,9564,9586
2025-05-13,9697,1789,11486,7078,7546,9667,9697
2025-05-12,9216,1627,10843,6928,7427,9201,9216
2025-05-11,10594,1589,12183,7604,7760,10575,10594
2025-05-10,10029,1478,11507,7295,7277,10013,10029
2025-05-09,9224,1406,10630,6785,7022,9201,9224
2025-05-08,8644,1595,10239,6575,6738,8631,8644
2025-05-07,8684,1480,10164,6467,6728,8659,8684
2025-05-06,9268,1554,10822,6815,7156,9247,9268
2025-05-05,9713,1543,11256,7104,7466,9685,9713
2025-05-04,10758,1451,12209,7825,7656,10742,10758
2025-05-03,10327,1466,11793,7289,7040,10313,10327
2025-05-02,9618,1605,11223,6786,7001,9595,9618
2025-05-01,9726,1595,11321,7158,7217,9708,9726
2025-04-30,10085,1564,11649,7131,7278,10068,10085
2025-04-29,10032,1709,11741,7084,7458,10010,10032
2025-04-28,10176,1599,11775,7175,7277,10153,10176
2025-04-27,11019,1609,12628,7893,7746,11001,11019
2025-04-26,10977,1690,12667,7766,7689,10956,10977
2025-04-25,10578,1683,12261,7510,7513,10558,10578
2025-04-24,10340,1769,12109,7502,7776,10329,10340
2025-04-23,10312,2025,12337,7373,7955,10294,10312
2025-04-22,10682,2034,12716,8086,8714,10670,10682
2025-04-21,11377,2174,13551,8703,9244,11362,11377
2025-04-20,12733,1911,14644,9866,10106,12714,12733
2025-04-19,11516,1906,13422,8854,9249,11500,11516
2025-04-18,12467,1928,14395,9512,9466,12446,12467
2025-04-17,11723,1918,13641,8898,8958,11702,11723
2025-04-16,11336,2061,13397,8721,8923,11319,11336
2025-04-15,11695,1936,13631,9051,9061,11682,11695
2025-04-14,11464,1616,13080,8865,8862,11446,11464
2025-04-13,11894,1580,13474,9029,8705,11884,11894
2025-04-12,10702,1346,12048,7897,7467,10690,10702
2025-04-11,9494,1369,10863,6872,6789,9469,9494
2025-04-10,8693,1316,10009,6269,6179,8677,8693
2025-04-09,8250,1361,9611,5917,5987,8227,8250
2025-04-08,8271,1361,9632,6054,6277,8257,8271
2025-04-07,7920,1411,9331,5856,6145,7900,7920
2025-04-06,9356,1371,10727,6946,6753,9337,9356
2025-04-05,8863,1432,10295,6402,6407,8842,8863
2025-04-04,7679,1407,9086,5675,5959,7670,7679
2025-04-03,7995,1328,9323,5963,6075,7972,7995
2025-04-02,8084,1384,9468,6017,6126,8074,8084
2025-04-01,7915,1527,9442,5806,6223,7897,7915
2025-03-31,8401,1394,9795,6139,6312,8386,8401
2025-03-30,9574,1340,10914,7004,6894,9555,9574
2025-03-29,8866,1234,10100,6226,6152,8850,8866
2025-03-28,8124,1297,9421,5669,5878,8107,8124
2025-03-27,7719,1260,8979,5500,5795,7710,7719
2025-03-26,7460,1257,8717,5278,5499,7435,7460
2025-03-25,7598,1575,9173,5411,5946,7586,7598
2025-03-24,7903,1613,9516,5696,6301,7888,7903
2025-03-23,9233,1392,10625,6807,6665,9219,9233
2025-03-22,8797,1267,10064,6206,6167,8775,8797
2025-03-21,8149,1332,9481,5643,5810,8136,8149
2025-03-20,7518,1189,8707,5272,5501,7514,7518
2025-03-19,7433,1232,8665,4932,5578,7431,7433
2025-03-18,7584,1247,8831,5228,5617,7581,7584
2025-03-17,8155,1184,9339,5726,5903,8155,8155
2025-03-16,8729,1086,9815,6662,6304,8729,8729
2025-03-15,8512,1052,9564,6070,5915,8512,8512
2025-03-14,7400,1090,8490,5028,5275,7400,7400
2025-03-13,7208,1216,8424,4870,5230,7207,7208
2025-03-12,7536,1145,8681,5289,5428,7536,7536
2025-03-11,7482,1142,8624,5199,5353,7479,7482
2025-03-10,7498,1168,8666,5276,5608,7498,7498
2025-03-09,8995,1234,10229,6256,6324,8993,8995
2025-03-08,8393,1183,9576,5842,6071,8393,8393
2025-03-07,7473,1122,8595,5125,5491,7473,7473
2025-03-06,7531,1249,8780,5161,5522,7530,7531
2025-03-05,7537,1142,8679,5108,5388,7537,7537
2025-03-04,7366,1201,8567,5124,5390,7365,7366
2025-03-03,7495,1170,8665,5264,5386,7492,7495
2025-03-02,8789,1101,9890,6300,6018,8789,8789
2025-03-01,8389,1112,9501,5858,5716,8388,8389
2025-02-28,7255,1171,8426,5039,5220,7255,7255
2025-02-27,7539,1240,8779,5394,5646,7538,7539
2025-02-26,7593,1184,8777,5254,5457,7591,7593
2025-02-25,7704,1267,8971,5584,5715,7702,7704
2025-02-24,7981,1367,9348,5692,6064,7981,7981
2025-02-23,9426,1322,10748,7088,6703,9424,9426
2025-02-22,9295,1334,10629,6787,6511,9295,9295
2025-02-21,8431,1112,9543,6089,6008,8429,8431
2025-02-20,8218,1044,9262,5896,5701,8217,8218
2025-02-19,7928,954,8882,5712,5313,7927,7928
2025-02-18,7749,994,8743,5517,5242,7749,7749
2025-02-17,8408,1049,9457,5786,5648,8407,8408
2025-02-16,9451,1046,10497,6625,5976,9450,9451
2025-02-15,9268,978,10246,6446,5906,9267,9268
2025-02-14,7877,978,8855,5451,4928,7876,7877
2025-02-13,8155,1218,9373,5631,5520,8155,8155
2025-02-12,8861,988,9849,6215,5691,8860,8861
2025-02-11,9389,414,9803,6570,5496,9388,9389
2025-02-10,6278,432,6710,3905,2721,6278,6278
2025-02-09,7893,531,8424,5080,3308,7891,7893
2025-02-08,7697,752,8449,4948,3685,7695,7697
2025-02-07,6958,1050,8008,4412,4002,6956,6958
2025-02-06,7980,1292,9272,4801,5680,7978,7980
2025-02-05,8001,1202,9203,5420,5772,7999,8001
2025-02-04,7831,1384,9215,5169,5738,7825,7831
2025-02-03,7779,1288,9067,5273,5706,7778,7779
2025-02-02,9248,1175,10423,6424,6335,9245,9248
2025-02-01,8721,1030,9751,5940,5777,8719,8721
2025-01-31,8034,918,8952,5278,5082,8030,8034
2025-01-30,7196,989,8185,4788,4770,7194,7196
2025-01-29,7650,1043,8693,4772,5114,7646,7650
2025-01-28,7653,1058,8711,5197,5131,7650,7653
2025-01-27,7913,1020,8933,5363,5276,7911,7913
2025-01-26,8605,879,9484,5975,5588,8603,8605
2025-01-25,8400,874,9274,5764,5335,8398,8400
2025-01-24,7575,929,8504,5060,4906,7575,7575
2025-01-23,7490,977,8467,4876,4979,7489,7490
2025-01-22,7827,984,8811,4923,5118,7826,7827
2025-01-21,7781,934,8715,5077,5137,7778,7781
2025-01-20,8047,986,9033,5315,5588,8046,8047
2025-01-19,9176,850,10026,6202,5901,9174,9176
2025-01-18,8257,915,9172,5376,5357,8257,8257
2025-01-17,7591,991,8582,4781,5021,7590,7591
2025-01-16,7519,911,8430,4643,4894,7518,7519
2025-01-15,7407,983,8390,4725,4829,7407,7407
2025-01-14,7190,986,8176,4856,5066,7188,7190
2025-01-13,7428,986,8414,4917,5172,7427,7428
2025-01-12,8406,969,9375,5808,5662,8406,8406
2025-01-11,8289,958,9247,5709,5548,8288,8289
2025-01-10,7268,1040,8308,4893,5152,7266,7268
2025-01-09,7046,1048,8094,4726,4982,7044,7046
2025-01-08,7010,1122,8132,4856,4972,7009,7010
2025-01-07,7095,1061,8156,5069,5069,7095,7095
2025-01-06,7202,1129,8331,5398,5285,7201,7202
2025-01-05,8607,1020,9627,6464,5874,8605,8607
2025-01-04,7968,1003,8971,5940,5467,7966,7968
2025-01-03,7342,1109,8451,5413,5495,7342,7342
2025-01-02,7461,1179,8640,5545,5478,7461,7461
2025-01-01,8038,939,8977,5954,5390,8038,8038
